district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat,closed
"Arghandab",05,26,"تعمیر",2605064,"Takto","Moque","Zabul",1,2,3,"Building",66.890350,32.399550,1
"Atghar",08,26,"قریه",2608072,"Khatnizai","Village Center","Zabul",1,2,3,"Village",67.227394,31.702750,1
"Atghar",08,26,"قریه",2608074,"Shamaron","Village Center","Zabul",1,2,3,"Village",67.517124,31.730504,1
"Shah Joi",06,26,"قریه",2606069,"Muqam","Muqam School","Zabul",1,2,3,"Village",67.494091,32.685122,1
"Arghandab",05,26,"تعمیر",2605016,"Akhtar Village","Akhtar Village School","Zabul",1,2,3,"Building",67.161649,32.666781,1
"Arghandab",05,26,"تعمیر",2605017,"Saigaz","Saigaz Mosque","Zabul",1,2,3,"Building",67.037176,32.555678,1
"Khakrez",07,27,"قریه",2707120,"Chinar","Manan Khan Private House","کندهار",1,1,2,"Village",65.480982,31.974652,1
"Maiwand",10,27,"قریه",2710133,"Azeem Khan Karez","Mullah Ibrahim School","کندهار",0,2,2,"Village",65.237314,31.521022,1
"Maiwand",10,27,"قریه",2710134,"Garmabak","Blagh Mosque","کندهار",1,1,2,"Village",65.058337,31.795971,1
"Shah Wali Kot",06,27,"قریه",2706096,"Khair Toot","Khair Toot Clinic","کندهار",0,2,2,"Village",65.927343,32.028749,1
"Khakrez",07,27,"قریه",2707117,"Tambeel","Tambeel School","کندهار",1,1,2,"Village",65.608562,32.172101,1
"Khakrez",07,27,"تعمیر",2707125,"Baghaka","Malak Abdul Khaliq Private House","کندهار",1,1,2,"Building",65.628889,32.003611,1
"Qush Tepa",05,28,"قریه",2805093,"Qosh Taba","Khatai Say Shor Qadoq","Jawzjan",1,1,2,"Village",65.305764,36.317514,1
"Khanaqa",03,28,"قریه",2803121,"Siyah Kamar Village","Siyah Kamar Mosque","Jawzjan",1,1,2,"Village",66.225400,36.585346,1
"Pashtun Kot",02,29,"قریه",2902019,"Khwaja Namosi","Meng Darakht, Khwaja Namosi","Faryab",1,1,2,"Village",64.582408,36.077741,1
"Almar",04,29,"قریه",2904069,"Khwaja Gawhar Village","Khwaja Gawhar","Faryab",2,2,4,"Village",64.281253,35.920146,1
"Qaisar",07,29,"تعمیر",2907087,"Khwaja Kanti","Khwaja Kanti Mosque","Faryab",1,2,3,"Building",64.023003,35.600578,1
"Qaisar",07,29,"تعمیر",2907098,"As-Haab Kahf Village","As-Haab Kahf Mosque","Faryab",1,1,2,"Building",63.938753,35.726187,1
"Pashtun Kot",02,29,"قریه",2902020,"Khwaja Namosi","Qasaba Qala School And Mosque","Faryab",1,1,2,"Village",64.556692,36.034638,1
"Qaisar",07,29,"قریه",2907080,"Chehlgazai Village","Khwaja Aspalan Mosque","Faryab",3,2,5,"Village",64.018737,35.748280,1
"Ghormach",07,31,"قریه",3107129,"Pai-E-Makhto","Pai-E-Makhto Mosque","Badghis",1,1,2,"Village",63.822107,35.661882,1
"Ghormach",07,31,"قریه",3107130,"Kariz-E-Dewana","Kariz-E- Dwana Village Mosque","Badghis",1,1,2,"Village",63.841134,35.636963,1
"Ghormach",07,31,"قریه",3107138,"Sharshar-E- Abdurrahman","Sharshar-E- Abdurahman Village","Badghis",1,1,2,"Village",63.767465,35.566479,1
