votes,ps,ﺭﺩﻧﺟ,ﯽﻫﺩﻳﺃﺭ ﺯﮐﺭﻣ ﻡﺎﻧ,pc_code,ﺕﻳﻻﻭ,audit_number
600,4,ﻪﻧﺍﺩﺭﻣ,ﻣﺣﻣ ﮏﻳﻧ ﻪﻧﺎﻧﺯ ﻭ ﻪﻧﺍﺩﺭﻣ ﻥﻭﺗﺳﻣﻠﻳﻣ ﻭ ﺕﺎﻣﻭﺟ ﺭﺍﻭﺟ,1204051,ﺎﮑﻳﺗﮑﭘ,709
600,2,ﻪﻧﺍﺩﺭﻣ,טﻧո ﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺩﻣﺣﺍ ﺭﻭﻧ,1204047,ﺎﮑﻳﺗﮑﭘ,710
600,3,ﻪﻧﺍﺩﺭﻣ,טﻧո ﺭﺗ ﻥﻭﺗﺳﻣﻠﻳﻣ ﺩﻣﺣﺍ ﺭﻭﻧ,1204047,ﺎﮑﻳﺗﮑﭘ,711
600,1,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﯽﮐ ﻩﺭﻭﻧ,1213197,ﺎﮑﻳﺗﮑﭘ,712
600,2,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﯽﮐ ﻩﺭﻭﻧ,1213197,ﺎﮑﻳﺗﮑﭘ,713
600,4,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﯽﮐ ﻩﺭﻭﻧ,1213197,ﺎﮑﻳﺗﮑﭘ,714
600,5,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﯽﮐ ﻩﺭﻭﻧ,1213197,ﺎﮑﻳﺗﮑﭘ,715
600,6,ﻪﻧﺎﻧﺯ,ﺕﺎﻣﻭﺟ ﯽﮐ ﻩﺭﻭﻧ,1213197,ﺎﮑﻳﺗﮑﭘ,716
600,1,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻟﺭﻭﻧ,1211175,ﺎﮑﻳﺗﮑﭘ,717
600,2,ﻪﻧﺍﺩﺭﻣ,ﯽըﻧﻭﻭ֢ ﯽﻟﺭﻭﻧ,1211175,ﺎﮑﻳﺗﮑﭘ,718
600,2,ﻪﻧﺍﺩﺭﻣ,ﺭﺗﻓﺩ ﯽﻧﺍﻭﺧﭘ ﻭﺳﻳﻟﻭﭘ ﺩ,1218242,ﺎﮑﻳﺗﮑﭘ,719
600,4,ﻪﻧﺍﺩﺭﻣ,ﺭﺗﻓﺩ ﯽﻧﺍﻭﺧﭘ ﻭﺳﻳﻟﻭﭘ ﺩ,1218242,ﺎﮑﻳﺗﮑﭘ,720
